field_id:ID(Field),name,db_field,semantic,table_count:int,:LABEL
DAE041,DAE041,DAE041,## 1. 字段解析,1,Field
AAC001,AAC001,AAC001,人员ID,29,Field
AAB001,AAB001,AAB001,单位ID,28,Field
AAB073,AAB073,AAB073,所属街道,26,Field
DAE046,DAE046,DAE046,预警对象摘要,5,Field
DAD001,DAD001,DAD001,风险点编号,1,Field
AAE002,AAE002,AAE002,费款所属期,1,Field
AAE019,AAE019,AAE019,金额,4,Field
DAE083,DAE083,DAE083,none,1,Field
DAE048,DAE048,DAE048,调查结果（编号）,1,Field
DAE049,DAE049,DAE049,none,1,Field
DAE102,DAE102,DAE102,none,1,Field
DAE103,DAE103,DAE103,none,1,Field
DAD012,DAD012,DAD012,none,1,Field
DAE075,DAE075,DAE075,none,1,Field
AAE036,AAE036,AAE036,none,2,Field
DAE076,DAE076,DAE076,none,1,Field
DAE077,DAE077,DAE077,none,1,Field
DAE078,DAE078,DAE078,none,1,Field
DAE079,DAE079,DAE079,none,1,Field
DAE080,DAE080,DAE080,none,1,Field
DAE081,DAE081,DAE081,none,1,Field
SYEAR,SYEAR,SYEAR,none,264,Field
SQUARTER,SQUARTER,SQUARTER,none,264,Field
SMONTH,SMONTH,SMONTH,none,264,Field
time_generation,time_generation,AAE036,none,9,Field
time_benchmark,time_benchmark,DIE014,none,7,Field
index_value,index_value,DIE015,none,5,Field
index_trend,index_trend,DIE016,none,4,Field
index_trend_low,index_trend_low,DIE017,none,4,Field
trend_12,trend_12,DIE019,none,1,Field
trend_24,trend_24,DIE020,none,1,Field
trend_36,trend_36,DIE021,none,1,Field
mrate_12,mrate_12,DIE022,none,1,Field
mrate_24,mrate_24,DIE023,none,1,Field
mrate_36,mrate_36,DIE024,none,1,Field
std_12,std_12,DIE025,none,1,Field
std_24,std_24,DIE026,none,1,Field
std_36,std_36,DIE027,none,1,Field
index_summarized,index_summarized,DKE200,none,1,Field
index_balance,index_balance,DKE201,none,1,Field
index_mci_hos,index_mci_hos,DKE202,none,1,Field
index_mci_clic,index_mci_clic,DKE221,none,1,Field
index_class,index_class,DKE205,none,3,Field
factor,factor,FACTOR,none,1,Field
medicine,medicine,DKE210,none,1,Field
material,material,DKE211,none,1,Field
factor_mio,factor_mio,DKE213,none,1,Field
factor_mio_code,factor_mio_code,DKE214,none,1,Field
fund_income,fund_income,DKE216,none,1,Field
fund_expend,fund_expend,DKE217,none,1,Field
peo_increase_rate,peo_increase_rate,DKE219,none,1,Field
worker_retire_rate,worker_retire_rate,DKE220,none,1,Field
RAA037,RAA037,RAA037,none,35,Field
REASON,REASON,DAE046,none,27,Field
RAA019,RAA019,RAA019,none,30,Field
AAB004,AAB004,AAB004,none,5,Field
DAB307,DAB307,DAB307,none,1,Field
DAB318,DAB318,DAB318,none,1,Field
DAB319,DAB319,DAB319,none,1,Field
DAB209,DAB209,DAB209,none,1,Field
AAB019,AAB019,AAB019,none,2,Field
AAB022,AAB022,AAB022,none,2,Field
AAB999,AAB999,AAB999,none,3,Field
DYCS,DYCS,RAZ009,none,1,Field
AAC999,AAC999,AAC999,none,2,Field
AAE041,AAE041,AAE041,none,7,Field
AAE042,AAE042,AAE042,none,4,Field
BAC001,BAC001,BAC001,none,14,Field
AAC003,AAC003,AAC003,none,6,Field
AAC006_6,AAC006_6,AAC006,none,1,Field
AAC004,AAC004,AAC004,none,1,Field
AAB011,AAB011,AAB011,none,1,Field
CAC205,CAC205,CAC205,none,1,Field
AAC006,AAC006,AAC006,none,5,Field
BAB001,BAB001,BAB001,none,3,Field
AAC147,AAC147,AAC147,none,3,Field
AIC162,AIC162,AIC162,none,1,Field
CAC001,CAC001,CAC001,none,1,Field
AAE003,AAE003,AAE003,none,4,Field
DIE_6,DIE_6,AAE138,none,4,Field
AAF013,AAF013,AAF013,none,2,Field
NUM,NUM,RAZ009,none,2,Field
AAE136,AAE136,AAE136,none,1,Field
AAC0G5,AAC0G5,ACC0G5,none,1,Field
